id,handle,text,time,retweet_count,favorite_count,engagement,cleaned_text,cleaned_text_no_stopwords,themes,is_repeated,sentiment,sentiment_score
7.81e+17,HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG,2016-09-28T00:22:34,218,651,869,the question in this election who can put the plans into action that will make your life better,question plans action life,Other,No,Positive,0.3
7.81e+17,HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF",2016-09-27T23:45:00,2445,5308,7753,last night donald trump said not paying taxes was smart you know what i call it unpatriotic,paying taxes smart call unpatriotic,Economy,No,Positive,0.10714285714285714
7.81e+17,HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,2016-09-27T23:26:40,7834,27234,35068,couldnt be more proud of hillaryclinton her vision and command during last nights debate showed that shes ready to be our next potus,couldnt vision command nights ready,Other,No,Positive,0.3
7.81e+17,HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy",2016-09-27T23:08:41,916,2542,3458,"if we stand together theres nothing we cant do 

make sure youre ready to vote",theres ready,Other,No,Positive,0.35
7.81e+17,HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,2016-09-27T22:30:27,859,2882,3741,both candidates were asked about how theyd confront racial injustice only one had a real answer,candidates theyd confront racial injustice answer,Other,No,Positive,0.1
7.81e+17,realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc",2016-09-27T22:13:24,2181,6172,8353,join me for a pm rally  tomorrow at the midamerica center in council bluffs iowa tickets,midamerica center council bluffs tickets,Other,No,Negative,-0.1
7.81e+17,HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,2016-09-27T21:35:28,1303,2849,4152,this election is too important to sit out go to  and make sure youre registered nationalvoterregistrationday h,sit registered nationalvoterregistrationday,Other,No,Positive,0.45
7.81e+17,HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,2016-09-27T21:25:31,1833,4954,6787,when donald trump goes lowregister to vote,goes lowregister,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe",2016-09-27T21:08:22,4132,11239,15371,once again we will have a government of by and for the people join the movement today,government movement,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,2016-09-27T21:00:13,1087,2824,3911,has trump offered a single proposal to reduce the friction of starting a business hillaryclinton has,offered single proposal reduce friction starting business,Other,No,Neutral,-0.03571428571428571
