id,handle,text,is_retweet,original_author,time,entities,cleaned_text
7.80926e+17,HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG,False,,2016-09-28T00:22:34,"{'media': [{'display_url': 'pic.twitter.com/XreEY9OicG', 'expanded_url': 'https://twitter.com/HillaryClinton/status/780925634159796224/video/1', 'sizes': {'medium': {'h': 675, 'resize': 'fit', 'w': 1200}, 'small': {'h': 383, 'resize': 'fit', 'w': 680}, 'large': {'h': 720, 'resize': 'fit', 'w': 1280}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'id_str': '780924569674809345', 'indices': [98, 121], 'id': 780924569674809345, 'url': 'https://t.co/XreEY9OicG', 'media_url_https': 'https://pbs.twimg.com/media/CtZnY0dVUAAkwYB.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtZnY0dVUAAkwYB.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",the question in this election who can put the plans into action that will make your life better httpstcoxreeyoicg
7.80916e+17,HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF",True,timkaine,2016-09-27T23:45:00,"{'media': [{'display_url': 'pic.twitter.com/t0xmBfj7zF', 'sizes': {'medium': {'h': 512, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'large': {'h': 512, 'resize': 'fit', 'w': 1024}, 'small': {'h': 340, 'resize': 'fit', 'w': 680}}, 'expanded_url': 'https://twitter.com/timkaine/status/780897748140847105/photo/1', 'indices': [112, 135], 'id': 780897660194742272, 'url': 'https://t.co/t0xmBfj7zF', 'source_status_id_str': '780897748140847105', 'source_user_id_str': '172858784', 'source_status_id': 780897748140847105, 'id_str': '780897660194742272', 'source_user_id': 172858784, 'media_url_https': 'https://pbs.twimg.com/media/CtZOSNnXYAAgvep.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtZOSNnXYAAgvep.jpg'}], 'user_mentions': [{'id_str': '172858784', 'name': 'Senator Tim Kaine', 'id': 172858784, 'screen_name': 'timkaine', 'indices': [3, 12]}], 'symbols': [], 'urls': [], 'hashtags': []}",last night donald trump said not paying taxes was smart you know what i call it unpatriotic httpstcotxmbfjzf
7.80912e+17,HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,True,POTUS,2016-09-27T23:26:40,"{'user_mentions': [{'id_str': '1536791610', 'name': 'President Obama', 'id': 1536791610, 'screen_name': 'POTUS', 'indices': [3, 9]}, {'id_str': '1339835893', 'name': 'Hillary Clinton', 'id': 1339835893, 'screen_name': 'HillaryClinton', 'indices': [37, 52]}], 'symbols': [], 'urls': [], 'hashtags': []}",couldnt be more proud of hillaryclinton her vision and command during last nights debate showed that shes ready to be our next potus
7.80907e+17,HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy",False,,2016-09-27T23:08:41,"{'media': [{'display_url': 'pic.twitter.com/Q3Ymbb7UNy', 'expanded_url': 'https://twitter.com/HillaryClinton/status/780907038650068994/video/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 338, 'resize': 'fit', 'w': 600}, 'large': {'h': 576, 'resize': 'fit', 'w': 1024}, 'small': {'h': 191, 'resize': 'fit', 'w': 340}}, 'id_str': '780205537451384833', 'indices': [109, 132], 'id': 780205537451384833, 'url': 'https://t.co/Q3Ymbb7UNy', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/780205537451384833/img/PSjYwoLSqwxml48l.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/amplify_video_thumb/780205537451384833/img/PSjYwoLSqwxml48l.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'IWillVote.com', 'expanded_url': 'http://IWillVote.com', 'indices': [85, 108], 'url': 'https://t.co/tTgeqxNqYm'}], 'hashtags': []}","if we stand together theres nothing we cant do 

make sure youre ready to vote httpstcottgeqxnqym httpstcoqymbbuny"
7.80897e+17,HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,False,,2016-09-27T22:30:27,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'hrc.io/2cTNXPX', 'expanded_url': 'http://hrc.io/2cTNXPX', 'indices': [99, 122], 'url': 'https://t.co/sjnEokckis'}], 'hashtags': []}",both candidates were asked about how theyd confront racial injustice only one had a real answer httpstcosjneokckis
7.80893e+17,realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc",False,,2016-09-27T22:13:24,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780893126605037568', 'indices': [96, 119], 'url': 'https://t.co/dfzsbICiXc'}], 'hashtags': []}",join me for a pm rally  tomorrow at the midamerica center in council bluffs iowa tickets httpstcodfzsbicixc
7.80884e+17,HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,False,,2016-09-27T21:35:28,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'IWillVote.com', 'expanded_url': 'http://IWillVote.com', 'indices': [49, 72], 'url': 'https://t.co/tTgeqxNqYm'}], 'hashtags': [{'text': 'NationalVoterRegistrationDay', 'indices': [106, 135]}]}",this election is too important to sit out go to httpstcottgeqxnqym and make sure youre registered nationalvoterregistrationday h
7.80881e+17,HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,False,,2016-09-27T21:25:31,"{'media': [{'display_url': 'pic.twitter.com/DXz9dEwsZS', 'expanded_url': 'https://twitter.com/HillaryClinton/status/780881075891531776/photo/1', 'sizes': {'medium': {'h': 512, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'large': {'h': 512, 'resize': 'fit', 'w': 1024}, 'small': {'h': 340, 'resize': 'fit', 'w': 680}}, 'id_str': '780878453813997569', 'indices': [71, 94], 'id': 780878453813997569, 'url': 'https://t.co/DXz9dEwsZS', 'media_url_https': 'https://pbs.twimg.com/media/CtY80QRW8AECOb9.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtY80QRW8AECOb9.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'IWillVote.com', 'expanded_url': 'http://IWillVote.com', 'indices': [47, 70], 'url': 'https://t.co/tTgeqxNqYm'}], 'hashtags': []}",when donald trump goes lowregister to vote httpstcottgeqxnqym httpstcodxzdewszs
7.80877e+17,realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe",False,,2016-09-27T21:08:22,"{'media': [{'display_url': 'pic.twitter.com/uYwJrtZkAe', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/780876760086880256/photo/1', 'sizes': {'large': {'h': 993, 'resize': 'fit', 'w': 1200}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 993, 'resize': 'fit', 'w': 1200}, 'small': {'h': 563, 'resize': 'fit', 'w': 680}}, 'id_str': '780876749999595520', 'indices': [114, 137], 'id': 780876749999595520, 'url': 'https://t.co/uYwJrtZkAe', 'media_url_https': 'https://pbs.twimg.com/media/CtY7RFEWYAAnDqc.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtY7RFEWYAAnDqc.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'bit.ly/2dxrgjaMOVEMENT', 'expanded_url': 'http://bit.ly/2dxrgjaMOVEMENT', 'indices': [90, 113], 'url': 'https://t.co/lWjYDbPHav'}], 'hashtags': []}",once again we will have a government of by and for the people join the movement today httpstcolwjydbphav httpstcouywjrtzkae
7.80875e+17,HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,True,mcuban,2016-09-27T21:00:13,"{'user_mentions': [{'id_str': '16228398', 'name': 'Mark Cuban', 'id': 16228398, 'screen_name': 'mcuban', 'indices': [3, 10]}, {'id_str': '1339835893', 'name': 'Hillary Clinton', 'id': 1339835893, 'screen_name': 'HillaryClinton', 'indices': [98, 113]}], 'symbols': [], 'urls': [], 'hashtags': []}", has trump offered a single proposal to reduce the friction of starting a business hillaryclinton has httpstcoohfafefsuq
